stnname,country_left,country_right
Allée de Mezo Guen,FRA,FRA
Allée de Mitsuse,FRA,FRA
Allée de Monbrison,FRA,FRA
Allée de Monte Carlo,FRA,FRA
Allée de Montluçon,FRA,FRA
Allée de Montlys,FRA,FRA
Allée de Montrevel,FRA,FRA
Allée de Morancy,FRA,FRA
Allée de Mortrie,FRA,FRA
Allée de Moulin Landa,FRA,FRA
Allée de Moulin-Neuf,FRA,FRA
Allée de Neizh Kaouenn,FRA,FRA
Allée Denise de Montesquieu,FRA,FRA
Allée Denise Haudebourg,FRA,FRA
Allée de Paillos 1,FRA,FRA
Allée de Pech de Buzot,FRA,FRA
Allée de Pen ar Valy,FRA,FRA
Allée de Perchy,FRA,FRA
Allée de Perrequet,FRA,FRA
Allée de Perronnay,FRA,FRA
Allée de Pey Bas,FRA,FRA
Allée de Pezay,FRA,FRA
Allée de Piencourt,FRA,FRA
Allée de Pinarellu,FRA,FRA
Allée de Pinceloup Bas,FRA,FRA
Allée de Piou Haut,FRA,FRA
Allée de Poil Rouge,FRA,FRA
Allée de Polleteins,FRA,FRA
Allée de Pondinan,FRA,FRA
Allée de Postillon,FRA,FRA
Allée de Potus,FRA,FRA
Allée de Prad ar C'hras,FRA,FRA
Allée de Pradigo,FRA,FRA
Allée de Pré Boissieux,FRA,FRA
Allée de Prédevaux,FRA,FRA
Allée de Puygauthier,FRA,FRA
Allée de Puy Jarragne,FRA,FRA
Allée de Puy Lalande,FRA,FRA
Allée de Puyrousseau,FRA,FRA
Allée de Rérafay,FRA,FRA
Allée de Rouchoux,FRA,FRA
Allée de Rozmeur,FRA,FRA
Allée des Abbayes,FRA,FRA
Allée de Saint-Amarin,FRA,FRA
Allée de Sainte-Euphémie,FRA,FRA
Allée de Saint-Hélène,FRA,FRA
Allée de Saint-Pardoux,FRA,FRA
Allée des Airs,FRA,FRA
